overallNo;noInSeason;title;directedBy;writtenBy;originalAirDate;prodCode;usViewersInMillions
540;10;Married to the Blob;Chris Clements;Tim Long;January 12, 2014;SABF03;4.83
541;11;Specs and the City;Lance Kramer;Brian Kelley;January 26, 2014;SABF06;3.87
542;12;Diggs;Michael Polcino;Dan Greaney & Allen Glazier;March 9, 2014;SABF08;2.69
543;13;The Man Who Grew Too Much;Matthew Schofield;Jeff Westbrook;March 9, 2014;SABF07;3.75
544;14;The Winter of His Content;Chuck Sheetz;Kevin Curran;March 16, 2014;SABF09;4.02
545;15;The War of Art;Steven Dean Moore;Rob LaZebnik;March 23, 2014;SABF10;3.98
546;16;You Don't Have to Live Like a Referee;Mark Kirkland;Michael Price;March 30, 2014;SABF11;3.91
547;17;Luca$;Chris Clements;Carolyn Omine;April 6, 2014;SABF12;4.30
548;18;Days of Future Future;Bob Anderson;J. Stewart Burns;April 13, 2014;SABF13;3.64
549;19;What to Expect When Bart's Expecting;Matthew Nastuk;John Frink;April 27, 2014;SABF14;3.45
550;20;Brick Like Me;Matthew Nastuk;Brian Kelley;May 4, 2014;RABF21;4.39
551;21;Pay Pal;Michael Polcino;David H. Steinberg;May 11, 2014;SABF15;3.66
552;22;The Yellow Badge of Cowardge;Timothy Bailey;Billy Kimball & Ian Maxtone-Graham;May 18, 2014;SABF18;3.28
553;1;Clown in the Dumps;Steven Dean Moore;Joel H. Cohen;September 28, 2014;SABF20;8.53
554;2;The Wreck of the Relationship;Chuck Sheetz;Jeff Westbrook;October 5, 2014;SABF17;4.27
555;3;Super Franchise Me;Mark Kirkland;Bill Odenkirk;October 12, 2014;SABF19;7.33
556;4;Treehouse of Horror XXV;Matthew Faughnan;Stephanie Gillis;October 19, 2014;SABF21;7.76
557;5;Opposites A-Frack;Matthew Nastuk;Valentina L. Garza;November 2, 2014;SABF22;4.22
558;6;Simpsorama;Bob Anderson;J. Stewart Burns;November 9, 2014;SABF16;6.70
559;7;Blazed and Confused;Rob Oliver;Carolyn Omine & William Wright;November 16, 2014;TABF01;6.70
560;8;Covercraft;Steven Dean Moore;Matt Selman;November 23, 2014;TABF02;3.45
561;9;I Won't Be Home for Christmas;Mark Kirkland;Al Jean;December 7, 2014;TABF03;6.52
562;10;The Man Who Came to Be Dinner;David Silverman;Al Jean & David Mirkin;January 4, 2015;RABF15;10.62
563;11;Bart's New Friend;Bob Anderson;Judd Apatow;January 11, 2015;TABF05;4.28
564;12;The Musk Who Fell to Earth;Matthew Nastuk;Neil Campbell;January 25, 2015;TABF04;3.29
565;13;Walking Big & Tall;Chris Clements;Michael Price;February 8, 2015;TABF06;2.78
566;14;My Fare Lady;Michael Polcino;Marc Wilmore;February 15, 2015;TABF07;2.67
567;15;The Princess Guide;Timothy Bailey;Brian Kelley;March 1, 2015;TABF08;3.93
568;16;Sky Police;Rob Oliver;Matt Selman;March 8, 2015;TABF09;3.79
569;17;Waiting for Duffman;Steven Dean Moore;John Frink;March 15, 2015;TABF10;3.59
570;18;Peeping Mom;Mark Kirkland;John Frink;April 19, 2015;TABF11;3.23
571;19;The Kids Are All Fight;Bob Anderson;Rob LaZebnik;April 26, 2015;TABF12;3.33
572;20;Let's Go Fly a Coot;Chris Clements;Jeff Westbrook;May 3, 2015;TABF13;3.12
573;21;Bull-E;Lance Kramer;Tim Long;May 10, 2015;TABF15;2.77
574;22;Mathlete's Feat;Michael Polcino;Michael Price;May 17, 2015;TABF16;2.82
575;1;Every Man's Dream;Matthew Nastuk;J. Stewart Burns;September 27, 2015;TABF14;3.28
576;2;Cue Detective;Timothy Bailey;Joel H. Cohen;October 4, 2015;TABF17;6.02
577;3;Puffless;Rob Oliver;J. Stewart Burns;October 11, 2015;TABF19;3.31
578;4;Halloween of Horror;Mike B. Anderson;Carolyn Omine;October 18, 2015;TABF22;3.69
579;5;Treehouse of Horror XXVI;Steven Dean Moore;Joel H. Cohen;October 25, 2015;TABF18;6.75
580;6;Friend with Benefit;Matthew Faughnan;Rob LaZebnik;November 8, 2015;TABF21;3.48
581;7;Lisa with an 'S';Bob Anderson;Stephanie Gillis;November 22, 2015;TABF20;5.64
582;8;Paths of Glory;Steven Dean Moore;Michael Ferris;December 6, 2015;VABF01;5.53
583;9;Barthood;Rob Oliver;Dan Greaney;December 13, 2015;VABF02;5.97
584;10;The Girl Code;Chris Clements;Rob LaZebnik;January 3, 2016;VABF03;4.41
585;11;Teenage Mutant Milk-Caused Hurdles;Timothy Bailey;Joel H. Cohen;January 10, 2016;VABF04;8.33
586;12;Much Apu About Something;Bob Anderson;Michael Price;January 17, 2016;VABF05;3.95
587;13;Love Is in the N2-O2-Ar-CO2-Ne-He-CH4;Mark Kirkland;John Frink;February 14, 2016;VABF07;2.89
588;14;Gal of Constant Sorrow;Matthew Nastuk;Carolyn Omine;February 21, 2016;VABF06;3.10
589;15;Lisa the Veterinarian;Steven Dean Moore;Dan Vebber;March 6, 2016;VABF08;3.09
590;16;The Marge-ian Chronicles;Chris Clements;Brian Kelley;March 13, 2016;VABF09;3.07
591;17;The Burns Cage;Rob Oliver;Rob LaZebnik;April 3, 2016;VABF10;2.32
592;18;How Lisa Got Her Marge Back;Bob Anderson;Jeff Martin;April 10, 2016;VABF11;2.55
593;19;Fland Canyon;Michael Polcino;J. Stewart Burns;April 24, 2016;VABF12;2.77
594;20;To Courier with Love;Timothy Bailey;Bill Odenkirk;May 8, 2016;VABF14;2.52
595;21;Simprovised;Matthew Nastuk;John Frink;May 15, 2016;VABF13;2.80
596;22;Orange Is the New Yellow;Matthew Faughnan;Eric Horsted;May 22, 2016;VABF15;2.54
597;1;Monty Burns' Fleeing Circus;Matthew Nastuk;Tom Gammill & Max Pross;September 25, 2016;VABF20;3.36
598;2;Friends and Family;Lance Kramer;J. Stewart Burns;October 2, 2016;VABF18;6.00
599;3;The Town;Rob Oliver;Dave King;October 9, 2016;VABF17;3.22
600;4;Treehouse of Horror XXVII;Steven Dean Moore;Joel H. Cohen;October 16, 2016;VABF16;7.44
601;5;Trust but Clarify;Michael Polcino;Harry Shearer;October 23, 2016;VABF21;3.36
602;6;There Will Be Buds;Matthew Faughnan;Matt Selman;November 6, 2016;VABF22;3.14
603;7;Havana Wild Weekend;Bob Anderson;Deb Lacusta, Dan Castellaneta & Peter Tilden;November 13, 2016;VABF19;7.13
604;8;Dad Behavior;Steven Dean Moore;Ryan Koh;November 20, 2016;WABF01;2.88
605;9;The Last Traction Hero;Bob Anderson;Bill Odenkirk;December 4, 2016;WABF03;5.77
606;10;The Nightmare After Krustmas;Rob Oliver;Jeff Westbrook;December 11, 2016;WABF02;5.60
607;11;Pork and Burns;Matthew Nastuk;Rob LaZebnik;January 8, 2017;WABF06;8.19
608;12;The Great Phatsby Part 1;Chris Clements;Dan Greaney;January 15, 2017;WABF04;6.90
609;13;The Great Phatsby Part 2;Timothy Bailey;Dan Greaney & Matt Selman;January 15, 2018;WABF05;6.91
610;14;Fatzcarraldo;Mark Kirkland;Michael Price;February 12, 2017;WABF07;2.40
611;15;The Cad and the Hat;Steven Dean Moore;Ron Zimmerman;February 19, 2017;WABF08;2.44
612;16;Kamp Krustier;Rob Oliver;David M. Stern;March 5, 2017;WABF09;2.56
613;17;22 for 30;Chris Clements;Joel H. Cohen;March 12, 2017;WABF10;2.61
614;18;A Father's Watch;Bob Anderson;Simon Rich;March 19, 2017;WABF11;2.40
615;19;Caper Chase;Lance Kramer;Jeff Westbrook;April 2, 2017;WABF12;2.13
616;20;Looking for Mr. Goodbart;Michael Polcino;Carolyn Omine;April 30, 2017;WABF13;2.30
617;21;Moho House;Matthew Nastuk;Jeff Martin;May 7, 2017;WABF14;2.34
618;22;Dogtown;Steven Dean Moore;J. Stewart Burns;May 21, 2017;WABF15;2.15
619;1;The Serfsons;Rob Oliver;Brian Kelley;October 1, 2017;WABF17;3.26
620;2;Springfield Splendor;Matthew Faughnan;Tim Long & Miranda Thompson;October 8, 2017;WABF22;5.25
621;3;Whistler's Father;Matthew Faughnan;Tom Gammill & Max Pross;October 15, 2017;WABF16;2.91
622;4;Treehouse of Horror XXVIII;Timothy Bailey;John Frink;October 22, 2017;WABF18;TBD
623;5;Grampy Can Ya Hear Me;Bob Anderson;Bill Odenkirk;November 5, 2017;WABF19;TBD
624;6;The Old Blue Mayor She Ain't What She Used to Be;TBA;Tom Gammill & Max Pross;November 12, 2017;WABF20;TBD
TBA;TBA;Mr. Lisa's Opus;Steven Dean Moore;Al Jean;November 2017;XABF01;TBD
TBA;TBA;Haw-Haw Land;TBA;TBA;2017;XABF03;TBD
